Company Name,Ticker,Optionable,Div. Yield %,Sector,Last Close,Relative Price Change,5 Yr. Hist. EPS Growth,% Change EPS (F(-1)/F(-2)),Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,ROA (5 Yr Avg),Current ROA (TTM),ROI (5 Yr Avg),Inventory Turnover,Asset Utilization,Net Margin %
"1800 FLOWERS.COM, Inc.","FLWS","YES","0","Retail-Wholesale","27.84",".93","24.02","145.74","19.3","6.58","6.0665","12.37","9.3676","9.40639","2.01929","5.6"
"AAR Corp.","AIR","YES","0","Aerospace","41.61","6.78","10.55","-87.87",".98","3.34","3.92079","2.17","5.6392","2.34719",".91834",".32"
"ABIOMED, Inc.","ABMD","YES","0","Medical","323.62","-8.66","45.56","-18.23","9.29","22.88","14.399","13.12","16.32299","1.7992",".62265","24.66"
"ACM Research, Inc.","ACMR","YES","0","Industrial Products","89","1.61","68.85","-.6","45.66","56.53","9.88389","8.56","16.90999","1.406",".56314","11.99"
"ANI Pharmaceuticals, Inc.","ANIP","YES","0","Medical","33.69","7.01","8.89","-470",".93","18.57","11.491","7.42","14.083","1.5463",".4456","-10.82"
"AVANOS MEDICAL, INC.","AVNS","YES","0","Medical","43.59","-11.99","-19.95","40.74","2.47","-21.23","3.69779","2.16","4.4777","2.00819",".40895","-3.81"
"AXT Inc","AXTI","YES","0","Computer and Technology","12.16","18.58","-9.39","224.54","14.54","2.33","2.5209","1.32","2.80749","1.31679",".38905","3.4"
"Abercrombie & Fitch Company","ANF","YES","0","Retail-Wholesale","35.17","56.71","21.17","-389.7","-13.74","-.49","1.05649","-1.37","1.049","2.69849",".94761","-3.65"
"Adecoagro S.A.","AGRO","YES","0","Consumer Staples","8.17","4.98","116.51","130.06","-7.82","2.48","2.3886","5.53","3.1229","1.94879",".34327",".03"
"Adient PLC","ADNT","YES","0","Auto-Tires-Trucks","43.12","14.81","-49.28","64.12","-23.33","-5.05","2.96889",".66","4.9312","16.385","1.22539","-1.83"
"AdvanSix Inc.","ASIX","YES","0","Basic Materials","27.62","28.09","-21.02","11.44","-10.75","-2.73","5.33379","3.65","9.003","5.88819",".91755","3.98"
"Advanced Micro Devices, Inc.","AMD","YES","0","Computer and Technology","81.44","-18.22","90.19","630.21","45.05","18.64","4.8754","18.4","8.4575","4.27209","1.37349","25.5"
"Aegion Corporation","AEGN","YES","0","Construction","28.47","39.16","-1.83","-52.5","-33.46","-2.66","3.39879","3.18","4.58339","12.64","1.0735","-3.14"
"AeroVironment, Inc.","AVAV","YES","0","Aerospace","117.41","28.93","40.12","1.95","16.87","10.21","5.77069","7.48","6.43319","4.8186",".6732","7.58"
"Air Transport Services Group, Inc","ATSG","YES","0","Transportation","30.7","-10.13","31.24","-47.53","8.15","20.22","4.0755","4.14","6.4084","3.63109",".53141","2.04"
"Alarm.com Holdings, Inc.","ALRM","YES","0","Industrial Products","87.72","-21.36","40.07","45.44","23.02","24.21","12.13","9.93","15.251","5.29739",".91","12.6"
"Alaska Air Group, Inc.","ALK","YES","0","Transportation","73.74","25.92","-9.71","-269.96","-59.39",".72","5.64379","-8.95","10.81999","34.13399",".254","-36.65"
"Alexion Pharmaceuticals, Inc.","ALXN","YES","0","Medical","153.41","-9.14","31.47","-74.9","21.61","18.05","11.01399","14.89","12.97099",".82946",".34437","9.94"
"Align Technology, Inc.","ALGN","YES","0","Medical","553.84","-5.56","63.92","301.08","2.71","25.56","25.03899","41.22","38.16299","5.50899",".57368","71.84"
"Allegheny Technologies Incorporated","ATI","YES","0","Basic Materials","22.34","23.41","758.28","-710.48","-27.66","3.79","1.118","-1.3","1.697","2.49149",".59417","-52.74"
"Allegiant Travel Company","ALGT","YES","0","Transportation","251.93","21.74","-10.98","-179.52","-46.22","1.69","7.80089","-4.57","11.463","31.207",".30588","-18.59"
"Alliance Resource Partners, L.P.","ARLP","YES","0","Oils-Energy","5.96","20.89","-37.76","-132.35","-32.3","-4.96","11.84799","1.22","16.77199","10.236",".58512","-9.73"
"Alpha Pro Tech, Ltd.","APT","YES","0","Industrial Products","9.88","-20.2","57.08","802.9","120.08","10.87","13.758","43.81","15.786","3.9386","1.6612","26.38"
"Alpha and Omega Semiconductor Limited","AOSL","YES","0","Computer and Technology","34.96","36.25","23.19","1497.28","3.1","9.04","2.6424","3.91","3.5218","2.91389",".66927","2.94"
"Alphabet Inc.","GOOG","YES","0","Computer and Technology","2224.75","17.01","20.71","17.26","12.77","20.06","13.21199","13.76","16.46999","103.74299",".62361","22.06"
"Alphabet Inc.","GOOGL","YES","0","Computer and Technology","2209.26","16.61","20.71","17.26","12.77","20.06","13.21199","13.76","16.46999","103.74299",".62361","22.06"
"Amazon.com, Inc.","AMZN","YES","0","Retail-Wholesale","3223.8201","-8.75","78.5","84.08","37.62","28.39","4.8842","7.88","12.20899","10.85299","1.42599","5.53"
"Amerco","UHAL","YES","0","Transportation","613.98","26.06","-4.62","105.75","5.58","5.07","3.44959","3.69","5.4119","27.34099",".30893","15.32"
"Ameresco, Inc.","AMRC","YES","0","Oils-Energy","49.79","-12.83","36.2","21.64","19.07","10.34","3.14159","3.73","5.7621","94.15699",".66512","5.24"
"American Airlines Group Inc.","AAL","YES","0","Transportation","24.06","41.52","-20.6","-626.99","-62.12","-6.64","2.54089","-15.35","4.95359","14.94799",".27974","-51.25"
"American Axle & Manufacturing Holdings, Inc.","AXL","YES","0","Auto-Tires-Trucks","9.81","8.89","-35.16","-15.88","-27.87","8.37","4.30819",".28","6.88129","11.862",".78187","-11.92"
"American Woodmark Corporation","AMWD","YES","0","Consumer Discretionary","100.29","-2.45","15.5","-17.79",".3","15.76","9.66959","6.63","12.902","10.564","1.00899","4.13"
"Americas CarMart, Inc.","CRMT","YES","0","Retail-Wholesale","150.06","27.01","47.08","23.39","11.28","7.98","7.16279","9.9","14.13799","7.56969","1.1828","8.37"
"Amphastar Pharmaceuticals, Inc.","AMPH","YES","0","Medical","17.63","-19","43.57","-97.13","8.53","8.03","3.12879","4.69","3.87019","1.97459",".57876",".4"
"Amtech Systems, Inc.","ASYS","YES","0","Computer and Technology","14.13","99.23","-46.92","-176.83","-23.02","-14.48",".92641","-1.87","1.7603","2.2074",".61173","-20.83"
"AngioDynamics, Inc.","ANGO","YES","0","Medical","24.06","41.62","-30.4","-442.09","-26.52","-5.85","2.8859","-.04","3.2911","2.4202",".46408","-61.71"
"Anika Therapeutics Inc.","ANIK","YES","0","Medical","41.05","-17.6","-20.35","-196.77","13.92","4.36","10.12199",".73","11.06499","1.3989",".32183","-20.17"
"Applied Optoelectronics, Inc.","AAOI","YES","0","Computer and Technology","8.47","-5.94","35.22","11.5","22.92","-6.28","4.7019","-6.78","5.75299","1.8128",".49129","-24.91"
"Aptiv PLC","APTV","YES","0","Business Services","144.28",".39","-18.83","82.22","-8.99","-5.58","10.60599","3.21","17.88599","8.72459",".79897","13.81"
"ArcelorMittal","MT","YES","0","Basic Materials","29.16","21.83","-9.27","70.13","-24.56","1.31","2.8736","-1.11","4.89799","3.60319",".65121","-1.38"
"Arista Networks, Inc.","ANET","YES","0","Computer and Technology","307.87","-1.22","36.82","-26.2","-3.87","23.12","16.95299","14.1","24.27899","2.2186",".52713","27.38"
"Arrow Electronics, Inc.","ARW","YES","0","Computer and Technology","114.76","8.48","3.03","386.37","-.84","4.78","4.3042","3.84","8.49689","7.6763","1.8049","2.04"
